baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
116843	112.705908802817	0.401132592470679	0.106902718362648	3.75231424059686	0.000175209650423291	0.0224991101478518
107984316	138.160409015122	0.48187391169693	0.128498884332764	3.75002408930692	0.000176817583597648	0.0224991101478518
56997	266.190619406662	0.514814106765755	0.137643132973257	3.74020916005872	0.000183867188427116	0.0232336622265265
84617	4431.45955095253	-0.484873149511016	0.129710340878769	-3.73812254463345	0.000185399579005019	0.0232657292384505
7038	27.4406785238725	0.738402163326701	0.198218210385523	3.72519841587991	0.000195161653421969	0.0243230236004531
54491	42.8171038092914	-1.23395071671254	0.331660987652747	-3.72051812739729	0.000198814470082238	0.0244908135354346
54898	17.0982193122388	1.59077015130883	0.427623042753609	3.72002907295482	0.000199199846298325	0.0244908135354346
9635	17.2151076879947	0.789576425827656	0.21313658063901	3.70455612762675	0.000211761216914588	0.0257614908488114
1982	19528.5238992177	-0.0984013374147996	0.0265674384452718	-3.70383232909351	0.000212366653512954	0.0257614908488114
10383	4380.71468267792	-0.472437554348388	0.127945245537329	-3.69249793037876	0.000222062148588643	0.0267592242100593
55164	423.633929911336	-0.223277975073278	0.0607676008304023	-3.67429307759623	0.000238508841801015	0.028386215986956
1965	1832.19797506552	-0.189576885660752	0.0515981021046159	-3.674105789325	0.000238683834139606	0.028386215986956
151050	332.528617260634	0.289597494865788	0.0791709210785172	3.65787704526744	0.000254312986141023	0.0298547038440132
140459	704.656834078636	-0.245847828756796	0.0671954378781027	-3.65869821702452	0.000253499635450288	0.0298547038440132
1595	2043.26197802815	0.256450220100846	0.0702100407530347	3.6526146025597	0.000259583682470825	0.0302781069630713
253725	1809.98822240332	0.141376059127776	0.0387805633562219	3.64553907660277	0.00026683186322357	0.0309253030778094
51149	506.728860123997	0.497998550937803	0.136992423460474	3.63522695896746	0.000277736015164491	0.0318453092315771
79822	130.235550590205	0.776569249881796	0.213652432835876	3.63473160391459	0.000278270178490919	0.0318453092315771
10346	2020.1534574686	0.32804403510671	0.0903650148059803	3.63021060541009	0.000283190057932089	0.0322057893383268
